Temperature_C,Humidity_pct,Vibration_g,Voltage_V,Current_A
54.443,43.512,0.788,12.002,1.114
58.364,48.925,0.896,12.095,1.151
58.281,51.093,0.898,12.127,1.160
56.576,46.598,0.846,12.108,1.115
53.155,40.861,0.762,11.960,1.060
51.216,38.887,0.697,11.848,1.037
51.505,39.950,0.729,11.847,1.060
54.724,45.189,0.797,12.013,1.106
58.231,48.963,0.876,12.127,1.165
58.730,51.859,0.914,12.139,1.154
56.594,48.570,0.845,12.054,1.096
52.479,42.747,0.753,11.929,1.067
50.481,37.870,0.716,11.835,1.045
51.322,39.639,0.721,11.851,1.052
54.978,44.684,0.800,12.025,1.110
58.322,50.523,0.883,12.117,1.139
59.388,50.585,0.897,12.160,1.172
56.726,47.807,0.848,12.081,1.121
53.549,42.309,0.759,11.935,1.083
51.669,39.090,0.697,11.872,1.036
52.234,41.341,0.721,11.928,1.059
55.473,43.852,0.791,11.988,1.111
58.148,50.201,0.881,12.138,1.165
58.810,50.682,0.902,12.154,1.154
57.140,47.506,0.842,12.105,1.124
53.154,42.030,0.764,11.929,1.084
51.020,39.313,0.706,11.832,1.048
51.474,41.070,0.714,11.903,1.053
55.074,46.828,0.792,11.981,1.096
58.154,49.734,0.890,12.112,1.159
58.740,49.574,0.906,12.169,1.162
56.592,47.894,0.836,12.060,1.121
52.953,43.805,0.755,11.940,1.078
50.675,38.007,0.715,11.832,1.046
52.246,39.885,0.716,11.875,1.037
54.576,44.998,0.790,12.020,1.089
58.062,49.217,0.877,12.172,1.141
59.057,51.661,0.897,12.150,1.165
56.570,47.173,0.841,12.092,1.130
53.034,42.393,0.753,11.926,1.079
51.287,39.534,0.709,11.843,1.041
51.674,40.584,0.725,11.890,1.054
55.104,46.216,0.804,12.054,1.095
58.619,50.141,0.869,12.114,1.162
58.831,50.417,0.894,12.169,1.144
55.795,47.708,0.845,12.030,1.107
53.989,42.989,0.769,11.947,1.072
51.006,38.146,0.700,11.870,1.035
51.777,39.364,0.716,11.891,1.046
54.800,45.901,0.812,12.006,1.098
58.912,50.622,0.881,12.088,1.158
59.665,51.133,0.901,12.111,1.166
56.354,48.162,0.844,12.053,1.138
53.540,43.397,0.752,11.938,1.072
51.704,39.831,0.706,11.839,1.037
51.805,39.961,0.711,11.862,1.062
54.710,44.234,0.800,12.039,1.115
58.721,49.888,0.883,12.085,1.155
58.362,50.399,0.890,12.130,1.151
56.226,48.469,0.843,12.060,1.115
53.294,41.885,0.756,11.975,1.075
51.229,40.055,0.706,11.845,1.054
51.357,40.375,0.715,11.905,1.050
54.834,45.191,0.793,11.993,1.077
58.088,49.719,0.857,12.109,1.165
58.631,50.647,0.897,12.129,1.178
57.150,47.673,0.848,12.077,1.120
53.264,42.302,0.772,11.964,1.089
51.095,38.379,0.709,11.864,1.037
51.319,40.634,0.732,11.867,1.035
55.100,44.473,0.804,11.997,1.095
57.514,50.346,0.881,12.129,1.152
58.872,49.743,0.892,12.133,1.137
57.122,47.298,0.841,12.058,1.134
53.260,42.143,0.760,11.951,1.055
51.115,39.242,0.707,11.830,1.045
52.216,39.770,0.732,11.869,1.052
54.786,44.044,0.792,12.001,1.102
58.517,50.505,0.890,12.085,1.155
59.256,51.344,0.904,12.182,1.172
56.375,47.551,0.833,12.067,1.118
53.117,42.719,0.748,11.946,1.077
50.485,39.306,0.712,11.846,1.051
51.967,40.471,0.722,11.894,1.054
55.526,44.399,0.802,12.010,1.100
57.511,50.201,0.880,12.156,1.132
59.148,52.868,0.902,12.165,1.158
56.384,47.839,0.853,12.065,1.131
53.703,41.776,0.770,11.909,1.070
51.512,38.675,0.714,11.836,1.044
