Type,Spot(S),Strike(K),Time(T),Rate(r),Vol(sigma),ExpectedPrice
PUT,100,94,1,0.05,0.2,8.1299
CALL,100,74,1,0.02,0.2,2.5275
CALL,99,69,1,0.02,0.2,2.4902
PUT,100,84,1,0.03,0.2,2.5744
CALL,100,82,1,0.03,0.2,8.9533
CALL,98,67,1,0.02,0.2,1.8783
CALL,100,76,1,0.03,0.2,1.8989
CALL,100,80,1,0.03,0.2,6.4323
CALL,98,67,1,0.02,0.2,3.1641
PUT,100,99,1,0.05,0.2,9.3881
CALL,91,63,0.9,0.01,0.2,2.0771
CALL,100,88,1,0.04,0.2,8.9971
CALL,85,62,0.9,0.01,0.2,1.6472
CALL,98,68,1,0.02,0.2,2.3421
CALL,96,65,1,0.02,0.2,2.0183
CALL,91,63,0.9,0.01,0.2,2.1406
PUT,100,97,1,0.05,0.2,9.8157
PUT,100,97,1,0.05,0.2,10.3117
CALL,100,85,1,0.04,0.2,9.1544
CALL,99,70,1,0.02,0.2,2.076
CALL,100,96,1,0.05,0.2,10.4297
CALL,97,66,1,0.02,0.2,2.3303
CALL,92,63,0.9,0.01,0.2,1.5848
PUT,100,94,1,0.05,0.2,8.1115
CALL,100,83,1,0.03,0.2,4.4349
PUT,100,95,1,0.05,0.2,9.3154
PUT,100,95,1,0.05,0.2,9.4386
CALL,100,79,1,0.03,0.2,7.2435
CALL,100,74,1,0.02,0.2,7.4095
CALL,100,94,1,0.05,0.2,10.3511
CALL,72,60,0.7,0.01,0.3,1.5695
CALL,100,75,1,0.02,0.2,2.4668
CALL,100,86,1,0.04,0.2,6.1701
CALL,100,87,1,0.04,0.2,9.0373
CALL,96,65,1,0.02,0.2,5.2783
CALL,90,63,0.9,0.01,0.2,1.8084
PUT,100,91,1,0.04,0.2,8.7705
CALL,81,61,0.8,0.01,0.3,1.7218
PUT,100,91,1,0.04,0.2,6.7429
CALL,100,89,1,0.04,0.2,10.1261
CALL,97,67,1,0.02,0.2,5.7787
PUT,100,97,1,0.05,0.2,10.3798
CALL,100,82,1,0.03,0.2,6.8332
PUT,100,87,1,0.04,0.2,4.0911
CALL,100,81,1,0.03,0.2,5.5907
PUT,100,94,1,0.04,0.2,8.8573
CALL,100,90,1,0.04,0.2,10.0358
CALL,100,71,1,0.02,0.2,4.0336
CALL,96,65,1,0.02,0.2,1.6279
CALL,98,67,1,0.02,0.2,1.9321
CALL,100,74,1,0.02,0.2,9.0229
PUT,100,87,1,0.04,0.2,3.282
CALL,100,90,1,0.04,0.2,9.943
CALL,100,79,1,0.03,0.2,3.2626
CALL,100,91,1,0.04,0.2,10.0168
